postac_a,postac_b,sila
SIDNEY,TATUM,21
DEWEY,SIDNEY,12
DEWEY,TATUM,11
BILLY,SIDNEY,10
RANDY,STU,8
SIDNEY,STU,8
RANDY,SIDNEY,7
DEWEY,GALE,7
GALE,SIDNEY,6
BILLY,STU,6
STU,TATUM,6
GALE,TATUM,5
DEWEY,SHERIFF BURKE,5
BILLY,RANDY,4
GALE,KENNY,4
FATHER,MOTHER,3
SIDNEY,VOICE,3
BILLY,TATUM,3
RANDY,TATUM,3
MAN,SIDNEY,3
DEWEY,MAMA RILEY,3
MAMA RILEY,SIDNEY,3
MAMA RILEY,TATUM,3
GALE,RANDY,3
CASEY,MAN,2
BILLY,VOICE,2
DEWEY,MR. HIMBRY,2
MR. HIMBRY,SHERIFF BURKE,2
MR. HIMBRY,SIDNEY,2
SHERIFF BURKE,SIDNEY,2
MAN,TATUM,2
BILLY,SHERIFF BURKE,2
SHERIFF BURKE,TATUM,2
KENNY,TATUM,2
DEWEY,REPORTER,2
REPORTER,SIDNEY,2
REPORTER,TATUM,2
GALE,STU,2
RANDY,TEEN #1,2
RANDY,TEEN #2,2
TEEN #1,TEEN #2,2
RANDY,VOICE,2
STU,VOICE,2
CASEY,FATHER,1
CASEY,MOTHER,1
BILLY,MR. PRESCOTT,1
MR. PRESCOTT,SIDNEY,1
MR. PRESCOTT,VOICE,1
GALE,REPORTER #1,1
GALE,REPORTER #2,1
REPORTER #1,REPORTER #2,1
MAN,MAN'S VOICE,1
MAN'S VOICE,SIDNEY,1
MAN'S VOICE,TATUM,1
BILLY,DEWEY,1
BILLY,MR. LOOMIS,1
MR. LOOMIS,SHERIFF BURKE,1
DEWEY,MAN,1
MAMA RILEY,MAN,1
MAMA RILEY,REPORTER,1
KENNY,SIDNEY,1
GIRL #1,GIRL #2,1
GIRL #1,MAN,1
GIRL #1,SIDNEY,1
GIRL #2,MAN,1
GIRL #2,SIDNEY,1
GHOST #1,GHOST #2,1
GHOST #1,MR. HIMBRY,1
GHOST #1,SIDNEY,1
GHOST #2,MR. HIMBRY,1
GHOST #2,SIDNEY,1
GALE,MR. HIMBRY,1
GALE,SHERIFF BURKE,1
CHECK OUT LADY,DEWEY,1
CHECK OUT LADY,SIDNEY,1
CHECK OUT LADY,TATUM,1
DEWEY,KENNY,1
ANOTHER TEEN,DEWEY,1
ANOTHER TEEN,GALE,1
ANOTHER TEEN,RANDY,1
ANOTHER TEEN,SIDNEY,1
ANOTHER TEEN,SOME TEEN,1
ANOTHER TEEN,STU,1
ANOTHER TEEN,TATUM,1
DEWEY,RANDY,1
DEWEY,SOME TEEN,1
DEWEY,STU,1
GALE,SOME TEEN,1
RANDY,SOME TEEN,1
SIDNEY,SOME TEEN,1
SOME TEEN,STU,1
SOME TEEN,TATUM,1
BORED TEEN,BOY TEEN,1
BORED TEEN,RANDY,1
BORED TEEN,STU,1
BORED TEEN,TEEN #1,1
BORED TEEN,TEEN #2,1
BORED TEEN,TEEN #3,1
BOY TEEN,RANDY,1
BOY TEEN,STU,1
BOY TEEN,TEEN #1,1
BOY TEEN,TEEN #2,1
BOY TEEN,TEEN #3,1
RANDY,TEEN #3,1
STU,TEEN #1,1
STU,TEEN #2,1
STU,TEEN #3,1
TEEN #1,TEEN #3,1
TEEN #2,TEEN #3,1
OTHER GUYS,RANDY,1
BILLY,GALE,1
GALE,VOICE,1
